#Table: J/AJ/137/3100/table4.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Scl-0064|20B |3286.629|01 01 27.89 -33 47 30.9|18.57| 1.24| 114.2| 1.8| 0.26|0.02| 0.41|0.03|1.000|     |   |     |
Scl-0065|20B |3286.629|01 01 23.83 -33 46 50.1|18.79| 1.14| 108.5| 1.2| 0.30|0.02| 0.33|0.03|1.000|     |   |     |
Scl-0066|20B |3286.629|01 01 23.34 -33 46 02.3|18.73| 1.22| 104.2| 0.6| 0.41|0.01| 0.45|0.03|1.000|     |   |     |
Scl-0067|20B |3286.629|01 01 19.41 -33 45 23.4|19.30| 1.09| 107.6| 0.9| 0.36|0.02| 0.54|0.03|0.998|     |   |     |
Scl-0068|20B |3286.629|01 01 23.60 -33 44 58.0|19.07| 1.20| 109.5| 1.4| 0.31|0.02| 0.31|0.03|1.000|     |   |     |
Scl-0069|20B |3286.629|01 01 22.56 -33 44 26.1|19.24| 1.11| 111.5| 0.6| 0.37|0.01| 0.35|0.03|1.000|     |   |     |
Scl-0070|20B |3286.629|01 01 15.05 -33 50 02.6|19.19| 1.22| 120.9| 3.1| 0.30|0.03| 0.27|0.05|1.000|     |   |     |
Scl-0071|20B |3286.629|01 01 16.04 -33 49 48.6|19.83| 1.00| 111.0| 2.0| 0.31|0.02| 0.46|0.04|1.000|     |   |     |
Scl-0072|20B |3286.629|01 01 12.90 -33 46 42.7|19.53| 1.09| 104.8| 2.1| 0.37|0.02| 0.36|0.04|1.000|105.4|1.5| 0.36|0.04
Scl-0072|1B  |4017.555|01 01 12.90 -33 46 42.7|19.53| 1.09| 106.0| 2.2|     |    |     |    |     |     |   |     |
Scl-0073|20B |3286.629|01 01 17.76 -33 46 24.9|19.31| 1.10| 123.8| 2.2| 0.31|0.02| 0.38|0.03|1.000|121.2|1.2| 0.37|0.03
Scl-0073|1B  |4017.555|01 01 17.76 -33 46 24.9|19.31| 1.10| 120.1| 1.4| 0.39|0.05| 0.09|0.17|     |     |   |     |
