#Table: J/AJ/137/3100/table3.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
For-0119|15R |3287.826|02 40 04.18 -34 39 12.6|18.74| 1.38|  40.6| 3.2| 0.38|0.07| 0.64|0.13|0.987|     |   |     |
For-0120|15R |3287.826|02 40 08.53 -34 38 34.4|18.83| 1.35|  71.0| 4.7| 0.32|0.09| 0.79|0.12|0.986|     |   |     |
For-0121|15R |3287.826|02 40 02.15 -34 38 02.9|19.10| 1.42|  44.7| 7.9| 0.13|0.13| 0.62|0.15|0.990|     |   |     |
For-0122|15R |3287.826|02 40 05.04 -34 37 46.8|18.30| 1.51|  56.9| 1.4| 0.37|0.04| 0.50|0.09|0.994|     |   |     |
For-0123|15R |3287.826|02 39 56.25 -34 40 42.5|18.49| 1.44|  27.7| 3.5| 0.38|0.06| 0.62|0.12|0.926|     |   |     |
For-0124|15R |3287.826|02 39 58.27 -34 40 00.2|18.70| 1.42|  63.9| 5.5| 0.41|0.07| 0.56|0.14|0.993|     |   |     |
For-0125|15R |3287.826|02 39 58.89 -34 37 54.0|18.86| 1.30|  65.5| 9.8| 0.52|0.06| 0.38|0.16|0.986|     |   |     |
For-0126|15R |3287.826|02 39 54.11 -34 36 24.2|18.88| 1.27|  52.9| 3.5| 0.31|0.06| 0.62|0.11|0.996|     |   |     |
For-0127|15R |3287.826|02 40 06.52 -34 31 00.3|18.51| 1.46|  61.5| 6.1| 0.41|0.04| 0.38|0.12|0.995|     |   |     |
For-0128|15R |3287.826|02 40 06.06 -34 31 37.9|18.60| 1.22|  43.1| 3.9| 0.40|0.04| 0.38|0.11|0.992|     |   |     |
For-0129|15R |3287.826|02 40 05.94 -34 32 00.8|18.47| 1.44|  52.2| 3.7| 0.45|0.05| 0.46|0.11|0.997|     |   |     |
For-0130|15R |3287.826|02 40 07.68 -34 32 00.9|18.84| 1.23|  51.6| 4.3| 0.35|0.06| 0.41|0.12|0.996|     |   |     |
For-0131|15R |3287.826|02 40 05.49 -34 32 42.8|18.33| 1.59|  74.7| 3.7| 0.44|0.04| 0.57|0.10|0.996| 71.6|0.8| 0.66|0.06
For-0131|4R  |4019.683|02 40 05.49 -34 32 42.8|18.33| 1.59|  72.1| 1.0| 0.42|0.04| 0.71|0.10|     |     |   |     |
For-0131|4R  |4027.679|02 40 05.49 -34 32 42.8|18.33| 1.59|  70.4| 1.3| 0.49|0.03| 0.68|0.09|     |     |   |     |
For-0132|15R |3287.826|02 40 07.93 -34 35 30.6|18.91| 1.42|  59.7| 9.7| 0.32|0.06| 0.54|0.12|0.994|     |   |     |
For-0133|15R |3287.826|02 40 18.89 -34 36 42.1|18.56| 1.42|  41.2| 8.6| 0.14|0.12| 0.76|0.13|0.986|     |   |     |
